"","id","trial","x","y","z","out","cond"
"174",8,20,3,4,2,25,"active"
"175",8,21,4,3,4,24,"active"
"176",8,22,2,2,3,11,"active"
"177",9,1,2,4,2,16,"passive"
"178",9,2,2,4,3,22,"passive"
"179",9,3,2,2,3,16,"passive"
"180",9,4,3,2,4,23,"passive"
"181",9,5,4,2,3,18,"passive"
"182",9,6,2,3,2,13,"passive"
"183",9,7,4,4,2,18,"passive"
"184",9,8,2,3,3,19,"passive"
"185",9,9,3,3,3,20,"passive"
"186",9,10,4,3,2,15,"passive"
"187",9,11,4,2,4,24,"passive"
"188",9,12,2,3,4,25,"passive"
"189",9,13,3,4,4,29,"passive"
"190",9,14,2,2,2,10,"passive"
"191",9,15,3,2,2,11,"passive"
"192",9,16,4,4,3,24,"passive"
"193",9,17,2,2,4,22,"passive"
"194",9,18,3,3,4,26,"passive"
"195",9,19,2,4,4,28,"passive"
"196",9,20,3,2,3,17,"passive"
"197",9,21,4,3,3,21,"passive"
"198",9,22,3,4,3,23,"passive"
"199",10,1,3,4,3,26,"active"
"200",10,2,2,3,3,19,"active"
"201",10,3,3,4,2,23,"active"
"202",10,4,4,3,3,21,"active"
"203",10,5,3,2,2,11,"active"
"204",10,6,4,4,2,24,"active"
"205",10,7,3,4,4,29,"active"
"206",10,8,2,4,2,22,"active"
"207",10,9,4,4,3,27,"active"
"208",10,10,4,2,4,18,"active"
"209",10,11,4,3,2,18,"active"
"210",10,12,4,4,4,30,"active"
"211",10,13,4,2,2,12,"active"
"212",10,14,3,2,4,17,"active"
"213",10,15,4,3,4,24,"active"
"214",10,16,2,4,3,25,"active"
"215",10,17,3,3,2,17,"active"
"216",10,18,2,2,3,13,"active"
"217",10,19,2,2,4,16,"active"
"218",10,20,2,4,4,28,"active"
"219",10,21,2,3,2,16,"active"
"220",10,22,2,2,2,10,"active"
"221",11,1,4,3,3,23,"passive"
"222",11,2,4,2,3,22,"passive"
"223",11,3,4,2,2,16,"passive"
"224",11,4,4,2,4,28,"passive"
"225",11,5,2,3,3,17,"passive"
"226",11,6,2,3,2,11,"passive"
"227",11,7,3,4,2,15,"passive"
"228",11,8,4,3,4,29,"passive"
"229",11,9,2,3,4,23,"passive"
"230",11,10,3,4,3,21,"passive"
"231",11,11,2,2,2,10,"passive"
"232",11,12,2,4,3,18,"passive"
"233",11,13,4,4,2,18,"passive"
"234",11,14,3,4,4,27,"passive"
"235",11,15,4,3,2,17,"passive"
"236",11,16,2,2,4,22,"passive"
"237",11,17,3,2,3,19,"passive"
"238",11,18,4,4,3,24,"passive"
"239",11,19,3,3,2,14,"passive"
"240",11,20,3,3,3,20,"passive"
"241",11,21,3,2,2,13,"passive"
"242",11,22,3,3,4,26,"passive"
"243",12,1,3,2,3,19,"passive"
"244",12,2,3,3,4,23,"passive"
"245",12,3,3,2,2,16,"passive"
