"","id","trial","x","y","z","out","cond"
"622",13,6,3,4,3,26,"active"
"623",13,7,4,3,4,24,"active"
"624",13,8,3,2,2,13,"active"
"625",13,9,2,4,4,24,"active"
"626",13,10,4,2,3,17,"active"
"627",13,11,3,3,3,20,"active"
"628",13,12,2,2,4,12,"active"
"629",13,13,3,4,2,25,"active"
"630",13,14,4,3,2,22,"active"
"631",13,15,3,2,4,15,"active"
"632",13,16,4,2,4,18,"active"
"633",13,17,2,4,3,23,"active"
"634",13,18,2,2,2,10,"active"
"635",13,19,2,3,3,17,"active"
"636",13,20,2,3,2,16,"active"
"637",13,21,3,2,3,14,"active"
"638",13,22,3,3,2,19,"active"
"661",14,1,2,2,2,10,"active"
"662",14,2,4,4,4,30,"active"
"663",14,3,3,3,3,20,"active"
"664",14,4,2,4,3,22,"active"
"665",14,5,4,2,3,18,"active"
"666",14,6,3,2,4,23,"active"
"667",14,7,2,2,3,16,"active"
"668",14,8,2,3,4,25,"active"
"669",14,9,4,4,3,24,"active"
"670",14,10,3,4,2,17,"active"
"671",14,11,2,4,4,28,"active"
"672",14,12,4,3,2,15,"active"
"673",14,13,4,3,4,27,"active"
"674",14,14,3,3,2,14,"active"
"675",14,15,4,3,3,21,"active"
"676",14,16,2,2,4,22,"active"
"677",14,17,3,2,2,11,"active"
"678",14,18,3,3,4,26,"active"
"679",14,19,3,2,3,17,"active"
"680",14,20,2,3,3,19,"active"
"681",14,21,4,2,4,24,"active"
"682",14,22,3,4,4,29,"active"
"705",15,1,3,4,3,26,"active"
"706",15,2,4,2,3,17,"active"
"707",15,3,2,3,3,17,"active"
"708",15,4,3,3,3,20,"active"
"709",15,5,2,3,2,16,"active"
"710",15,6,2,4,2,22,"active"
"711",15,7,4,4,4,30,"active"
"712",15,8,3,4,4,27,"active"
"713",15,9,2,4,3,23,"active"
"714",15,10,3,4,2,25,"active"
"715",15,11,4,4,3,29,"active"
"716",15,12,2,4,4,24,"active"
"717",15,13,4,4,2,28,"active"
"718",15,14,4,3,3,23,"active"
"719",15,15,4,3,4,24,"active"
"720",15,16,4,3,2,22,"active"
"721",15,17,4,2,4,18,"active"
"722",15,18,3,3,4,21,"active"
"723",15,19,3,3,2,19,"active"
"724",15,20,2,2,4,12,"active"
"725",15,21,3,2,3,14,"active"
"726",15,22,3,2,4,15,"active"
"727",16,1,4,2,2,16,"active"
"728",16,2,4,4,4,30,"active"
"729",16,3,2,2,2,10,"active"
"730",16,4,4,2,4,28,"active"
"731",16,5,2,3,3,17,"active"
"732",16,6,3,3,3,20,"active"
"733",16,7,4,3,3,23,"active"
"734",16,8,3,4,4,27,"active"
"735",16,9,2,4,4,24,"active"
"736",16,10,4,4,2,18,"active"
"737",16,11,2,2,4,22,"active"
"738",16,12,4,4,3,24,"active"
"739",16,13,4,3,2,17,"active"
"740",16,14,2,4,3,18,"active"
"741",16,15,4,3,4,29,"active"
"742",16,16,2,2,3,16,"active"
"743",16,17,3,4,3,21,"active"
"744",16,18,3,2,2,13,"active"
"745",16,19,3,3,2,14,"active"
"746",16,20,2,4,2,12,"active"
"747",16,21,4,2,3,22,"active"
"748",16,22,2,3,2,11,"active"
"771",17,1,4,2,3,15,"active"
"772",17,2,3,2,4,17,"active"
"773",17,3,3,4,2,23,"active"
"774",17,4,2,4,3,25,"active"
"775",17,5,3,4,4,29,"active"
"776",17,6,4,2,4,18,"active"
"777",17,7,4,2,2,12,"active"
"778",17,8,4,4,4,30,"active"
"779",17,9,2,4,2,22,"active"
"780",17,10,4,3,4,24,"active"
"781",17,11,3,3,4,23,"active"
"782",17,12,3,4,3,26,"active"
"783",17,13,4,3,3,21,"active"
"784",17,14,4,3,2,18,"active"
"785",17,15,2,3,4,22,"active"
"786",17,16,4,4,3,27,"active"
"787",17,17,4,4,2,24,"active"
"788",17,18,2,2,4,16,"active"
"789",17,19,3,2,3,14,"active"
"790",17,20,3,3,3,20,"active"
"791",17,21,3,2,2,11,"active"
"792",17,22,2,4,4,28,"active"
"793",18,1,4,4,4,30,"active"
"794",18,2,4,4,3,29,"active"
"795",18,3,2,3,3,14,"active"
"796",18,4,3,3,4,21,"active"
"797",18,5,3,2,2,16,"active"
"798",18,6,2,2,3,11,"active"
"799",18,7,3,2,4,18,"active"
"800",18,8,4,3,2,25,"active"
"801",18,9,2,4,3,17,"active"
"802",18,10,4,2,2,22,"active"
"803",18,11,2,4,4,18,"active"
"804",18,12,2,3,2,13,"active"
"805",18,13,3,4,3,23,"active"
"806",18,14,3,3,3,20,"active"
"807",18,15,4,2,3,23,"active"
"808",18,16,4,3,3,26,"active"
"809",18,17,4,2,4,24,"active"
"810",18,18,4,4,2,28,"active"
"811",18,19,2,4,2,16,"active"
"812",18,20,3,2,3,17,"active"
"813",18,21,3,4,2,22,"active"
"814",18,22,2,2,4,12,"active"
"815",19,1,3,3,4,23,"active"
"816",19,2,3,2,2,16,"active"
"817",19,3,4,4,3,27,"active"
"818",19,4,4,4,4,30,"active"
"819",19,5,3,4,4,24,"active"
"820",19,6,2,2,2,10,"active"
"821",19,7,4,2,4,28,"active"
"822",19,8,4,4,2,24,"active"
"823",19,9,3,4,3,21,"active"
"824",19,10,2,3,4,17,"active"
"825",19,11,4,3,3,26,"active"
"826",19,12,4,2,2,22,"active"
"827",19,13,3,3,2,17,"active"
"828",19,14,3,3,3,20,"active"
"829",19,15,4,3,4,29,"active"
"830",19,16,3,4,2,18,"active"
"831",19,17,4,2,3,25,"active"
"832",19,18,4,3,2,23,"active"
"833",19,19,2,2,4,16,"active"
